,model_h13_qp,model_h13_nb
Dependent Var.:,nags_any_support,nags_any_support
 , , 
Constant,9.158*** (1.131),13.13*** (1.396)
NAGTargetsNonDemocracy x OppositionSizeNorm = -3.13634006316155,-4.663*** (1.055),-5.263*** (1.084)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.82878025131249,-2.840*** (0.5496),-3.532*** (0.7048)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.71391761887746,-3.853*** (1.056),-4.459*** (1.090)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.57185067876046,-2.971** (1.070),-3.740** (1.380)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.56656095226674,-6.042*** (1.074),-7.017*** (1.208)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.47663560187352,-19.37*** (0.3568),-24.64*** (0.4752)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.40484645660163,-2.093* (1.026),-2.803** (1.082)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.32701190962263,-1.006 (1.193),-0.9303 (1.140)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.32550055919586,-3.023** (1.069),-3.782** (1.378)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.32323353355569,-2.971** (1.072),-3.755** (1.382)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.2839384224595,-2.264* (1.009),-3.033** (1.061)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.28318274724611,-19.97*** (0.3523),-24.28*** (0.4790)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.22877413188215,-3.566*** (0.8597),-4.268*** (0.8904)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.20308117462694,-19.98*** (0.3542),-24.29*** (0.4796)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.19401307206628,-20.52*** (0.2714),-27.33*** (0.5031)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.17587686694496,-3.005** (1.068),-3.760** (1.376)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.16378606353075,-2.992** (1.072),-3.770** (1.382)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.14716120883621,-4.628*** (0.8325),-5.409*** (0.9527)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.12297960200778,-18.23*** (0.5017),-25.11*** (0.5205)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.11768987551406,-20.01*** (0.3584),-24.95*** (0.4814)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.11164447380695,-3.871*** (1.071),-4.372*** (1.108)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.08217314048481,-19.84*** (0.3414),-24.15*** (0.4710)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.05874720886977,-20.19*** (0.2951),-24.42*** (0.5958)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.02323047384052,-4.390*** (1.074),-5.374*** (1.258)
NAGTargetsNonDemocracy x OppositionSizeNorm = -2.01869642256019,-2.711** (1.028),-3.439** (1.048)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.99980454222548,-1.716 (1.068),-2.084. (1.116)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.99300346530499,-19.70*** (0.2716),-25.58*** (0.6687)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.98317968753094,-2.921** (1.010),-3.613*** (0.9538)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.96428780719623,-20.50*** (0.2832),-26.73*** (0.4971)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.94766295250168,-2.117** (0.8011),-2.565** (0.9266)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.9076121661921,-19.93*** (0.2871),-26.28*** (0.6507)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.88720893543062,-4.345*** (1.012),-5.036*** (1.023)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.86605002945574,-3.555*** (1.073),-4.034*** (1.115)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.84186842262732,-19.62*** (0.2741),-24.44*** (0.6633)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.82448789271938,-2.969** (1.014),-3.690*** (0.9998)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.77990305512947,-20.03*** (0.3245),-24.02*** (0.4952)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.76932360214204,-4.530*** (1.027),-5.004*** (1.053)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.75798847394121,-4.636*** (1.016),-5.311*** (1.028)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.7134036363513,-2.557* (1.005),-3.284*** (0.9415)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.71038093549774,-19.40*** (0.3372),-24.39*** (0.5554)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.68242095260238,-19.68*** (0.3654),-27.29*** (0.4772)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.67939825174882,-2.056* (0.9745),-2.742** (0.8842)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.67259717482833,-2.743** (1.027),-3.497*** (1.051)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.66201772184089,-19.88*** (0.3206),-27.11*** (0.5190)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.65068259364007,-3.124** (1.056),-3.806** (1.235)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.63632476458569,-19.87*** (0.2705),-23.76*** (0.6820)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.63330206373213,-1.994** (0.7320),-2.819*** (0.7502)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.58267182443511,-2.068. (1.082),-2.409* (1.120)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.55320049111297,-19.79*** (0.2964),-26.21*** (0.4588)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.54337671333892,-2.468* (0.9964),-3.215*** (0.9279)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.5380869868452,-3.486*** (0.9639),-4.091*** (0.9300)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.52372915779082,-20.15*** (0.3084),-24.13*** (0.4900)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.51768375608372,-19.67*** (0.3540),-26.66*** (0.4536)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.51692808087033,-20.09*** (0.3863),-24.26*** (0.4856)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.51239402959,-2.747** (0.9760),-3.409*** (0.9648)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.50408160224273,-2.322** (0.7935),-2.806** (0.8647)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.49803620053562,-19.48*** (0.2973),-23.98*** (0.6770)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.47687729456075,-3.156*** (0.9326),-3.841*** (0.9349)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.43531515782439,-2.988*** (0.6809),-3.613*** (0.7598)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.4277584056905,-19.89*** (0.3544),-24.76*** (0.4789)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.42020165355662,-1.632 (1.002),-2.177* (1.028)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.41415625184951,-19.73*** (0.3509),-23.76*** (0.4603)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.41340057663613,-2.564* (1.067),-3.215* (1.286)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.40735517492902,-2.823** (0.8731),-3.491*** (1.043)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.38846329459431,-2.299* (1.038),-2.814** (1.070)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.37334979032654,-20.74*** (0.2903),-27.29*** (0.4827)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.36201466212572,-18.41*** (0.5342),-22.40*** (0.5843)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.35596926041861,-2.437*** (0.6747),-3.118*** (0.6892)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.34010008093746,-3.174** (1.053),-3.523*** (1.028)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.3370773800839,-2.386** (0.8151),-3.073*** (0.8082)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.33556602965713,-2.513*** (0.6692),-3.141*** (0.7459)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.32876495273663,-17.81*** (0.6611),-24.52*** (0.6581)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.31289577325548,-18.72*** (0.4510),-24.49*** (0.5724)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.3113844228287,-3.628*** (1.080),-4.284*** (1.166)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.31062874761531,-1.987* (0.9445),-2.690** (0.8655)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.30609469633498,-3.612*** (1.078),-4.266*** (1.158)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.30533902112159,-19.03*** (0.4247),-22.85*** (0.4928)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.30382767069482,-18.21*** (0.5215),-24.76*** (0.5245)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.29778226898771,-2.130* (0.9076),-2.898*** (0.7952)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.29702659377432,-1.785. (1.067),-2.169. (1.116)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.2917368672806,-3.010** (1.019),-3.702*** (1.009)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.2856914655735,-2.256** (0.7864),-2.974*** (0.8795)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.28191308950655,-3.992*** (0.7297),-4.744*** (0.8261)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.27737903822622,-2.746*** (0.7073),-3.329*** (0.7732)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.27284498694589,-3.059** (1.049),-3.550** (1.123)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.26906661087895,-1.547** (0.5605),-2.182*** (0.6375)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.26831093566556,-19.32*** (0.4221),-23.78*** (0.6190)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.26528823481201,-2.092*** (0.6264),-2.690*** (0.7061)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.26075418353168,-17.54*** (0.7205),-21.48*** (0.7010)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.25093040575763,-20.55*** (0.2697),-24.53*** (0.4845)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.24715202969069,-1.796** (0.5858),-2.372*** (0.6580)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.24488500405053,-2.416* (1.003),-3.158*** (0.9346)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.2403509527702,-2.690** (0.9975),-3.433*** (0.9854)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.22977149978276,-18.48*** (0.5312),-22.83*** (0.6153)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.22750447414259,-1.289* (0.5458),-1.966** (0.6248)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.22599312371582,-1.813*** (0.5357),-2.531*** (0.5933)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.22221474764887,-19.26*** (0.3763),-25.40*** (0.5629)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.20861259380788,-1.885. (0.9782),-2.577** (0.8942)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.20558989295433,-20.76*** (0.3022),-24.90*** (0.4806)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.19803314082045,-19.77*** (0.3471),-24.77*** (0.4680)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.19727746560706,-3.314*** (0.9429),-4.231*** (0.9322)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.19349908954012,-3.618*** (0.9967),-4.119*** (0.9278)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.19274341432673,-1.863* (0.9320),-2.587** (0.8581)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.19198773911334,-2.507*** (0.6708),-3.232*** (0.7295)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.19047638868656,-2.514** (0.7695),-3.213*** (0.8233)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.18896503825979,-2.793** (1.038),-3.364** (1.082)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.1882093630464,-1.411** (0.4730),-2.051*** (0.5639)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.18518666219285,-3.085** (1.082),-3.583** (1.149)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.17989693569913,-18.69*** (0.4983),-24.50*** (0.5584)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.17460720920541,-19.27*** (0.4033),-25.89*** (0.5497)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.17158450835186,-19.06*** (0.3959),-23.19*** (0.5303)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.16629478185814,-20.64*** (0.3090),-24.66*** (0.4677)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.15042560237698,-20.66*** (0.2683),-26.21*** (0.4901)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.14891425195021,-2.962*** (0.7035),-3.961*** (0.7280)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.14740290152343,-20.42*** (0.4027),-24.76*** (0.5180)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.14589155109665,-2.821** (0.9657),-3.717*** (0.9385)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.14060182460293,-0.7620 (0.6107),-1.406* (0.7010)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.13077804682889,-1.967* (0.9875),-2.645** (0.9021)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.12851102118872,-3.601*** (1.005),-4.527*** (0.9893)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.12775534597533,-18.53*** (0.4894),-25.34*** (0.7016)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.10735211521385,-19.76*** (0.3781),-24.55*** (0.4724)
NAGTargetsNonDemocracy x OppositionSizeNorm = -1.10584076478707,-4.832*** (1.100),-5.465*** (1.150)
