,model_h15_logit,model_h15_nb
Dependent Var.:,VisibleNAGSupport,nags_support_count
 , , 
Constant,30.69*** (1.366),16.01*** (1.407)
OppositionSizeNorm,0.0362 (0.0417),-0.0326 (0.2208)
NAGTargetsNonDemocracy,-20.93*** (0.1051),-4.927*** (0.4354)
PoliticalBandwidth,4.080* (1.691),1.515 (2.054)
LogCapitalDistance,-1.254*** (0.1220),-1.490*** (0.1160)
SenderCINCLog,0.4214*** (0.0415),0.5031*** (0.0553)
TargetCINCLog,0.3577*** (0.0383),0.2561*** (0.0419)
cold_war,-0.1407 (0.0943),0.0912 (0.1470)
war_on_terror,-0.2698** (0.0932),-0.5107*** (0.1308)
OppositionSizeNorm x NAGTargetsNonDemocracy,0.1138. (0.0629),0.0885 (0.2423)
________________________________________,__________________,___________________
Family,Logit,Neg. Bin.
S.E.: Clustered,by: dyad,by: dyad
Observations,"1,024,049","1,024,049"
Squared Cor.,0.13060,0.00130
Pseudo R2,0.31443,0.27687
BIC,"50,751.9","33,887.7"
Over-dispersion,--,0.14360
