,model_h5_nb,model_h5_qp,model_h5_sub_nb
Dependent Var.:,nags_support_count,nags_support_count,nags_support_count
 , , , 
Constant,10.04*** (1.149),4.955*** (0.9870),1.107*** (0.3279)
`RevisionistLeader(High)`,0.7531*** (0.1673),0.8184*** (0.1747),0.1688*** (0.0438)
`NAGNon-DemObjective`,2.979*** (0.4133),3.430*** (0.2832),0.2554. (0.1399)
`PoliticalBandwidth`,1.038 (2.005),1.530 (1.769),0.3900 (0.6081)
`LogCapitalDistance`,-1.435*** (0.0922),-0.8457*** (0.0742),-0.1307*** (0.0322)
`SenderCINC(log)`,0.4447*** (0.0530),0.4038*** (0.0564),0.0241 (0.0180)
`TargetCINC(log)`,0.3034*** (0.0421),0.2681*** (0.0416),0.0089 (0.0204)
cold_war,0.1772 (0.1335),0.0312 (0.1176),0.1104 (0.0707)
war_on_terror,-0.2510. (0.1294),-0.3362** (0.1038),0.0020 (0.0362)
`RevisionistLeader(High)` x `NAGNon-DemObjective`,1.253* (0.4905),0.3112 (0.3105),0.0080 (0.1838)
________________________________________,__________________,___________________,___________________
Family,Neg. Bin.,"quasipoisson(""log"")",Neg. Bin.
S.E.: Clustered,by: dyad,by: dyad,by: dyad
Observations,"1,126,609","1,126,609","3,276"
Squared Cor.,0.00063,0.10057,0.14431
Pseudo R2,0.27834,--,0.01827
BIC,"35,611.8",--,"7,804.0"
Over-dispersion,0.14773,--,"10,000"
