,model_h2_nb,model_h2_qp,model_h2_sub_nb
Dependent Var.:,nags_support_count,nags_support_count,nags_support_count
 , , , 
Constant,12.47*** (1.166),6.966*** (1.124),1.416*** (0.3966)
`RevisionistSupportLevel`,0.4091*** (0.0645),0.4235*** (0.0775),0.0492* (0.0220)
`PoliticalBandwidth`,0.5426 (2.129),0.8882 (2.224),0.0727 (0.5758)
`LogCapitalDistance`,-1.597*** (0.0891),-0.9258*** (0.0813),-0.1336*** (0.0355)
`SenderCINC(log)`,0.4770*** (0.0517),0.4482*** (0.0599),0.0272 (0.0207)
`TargetCINC(log)`,0.3441*** (0.0452),0.3338*** (0.0530),0.0199 (0.0228)
cold_war,-0.2979* (0.1376),-0.3604* (0.1495),0.0385 (0.0706)
war_on_terror,-0.5001*** (0.1177),-0.5094*** (0.1083),-0.0302 (0.0377)
_________________________,___________________,___________________,___________________
Family,Neg. Bin.,"quasipoisson(""log"")",Neg. Bin.
S.E.: Clustered,by: dyad,by: dyad,by: dyad
Observations,"1,126,609","1,126,609","3,276"
Squared Cor.,1.64e-7,0.00227,0.08237
Pseudo R2,0.23686,--,0.01162
BIC,"37,622.8",--,"7,840.1"
Over-dispersion,0.07130,--,"10,000"
